participant, color, response, RT, error
1, green, none, -1.0000, 1
1, green, space, 0.4407, 0
1, blue, none, -1.0000, 0
1, blue, none, -1.0000, 0
1, blue, none, -1.0000, 0
1, blue, none, -1.0000, 0
1, green, space, 0.4313, 0
1, green, space, 0.4876, 0
1, blue, none, -1.0000, 0
1, blue, none, -1.0000, 0
1, green, space, 0.4158, 0
1, blue, none, -1.0000, 0
1, green, space, 0.3735, 0
1, blue, none, -1.0000, 0
1, blue, none, -1.0000, 0
1, green, space, 0.4323, 0
1, green, space, 0.6249, 0
1, green, space, 0.4587, 0
1, blue, none, -1.0000, 0
1, green, space, 0.3840, 0
participant, color, response, RT, error
1, blue, none, -1.0000, 0
1, green, none, -1.0000, 1
1, green, none, -1.0000, 1
1, blue, none, -1.0000, 0
1, blue, none, -1.0000, 0
1, blue, none, -1.0000, 0
1, green, none, -1.0000, 1
